"Population and dwelling counts: Canada and census subdivisions (municipalities) 1"
"Frequency: Occasional"
"Table: 98-10-0002-01"
"Release date: 2022-02-09"
"Geography: Canada, Province or territory, Census division, Census subdivision"
"Universe: All persons, 2021 and 2016 censuses – 100% data"
"Variable List: Population and dwelling counts (13)"

,,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
"Geographic name","Geographic area type abbreviation","Province or territory abbreviation"
"Scotstown","V","Que.","459","472","-2.8","272","279","-2.5","230","228","0.9","11.44","40.1","3,025","949"
"Weedon","MÉ","Que.","2,667","2,670","-0.1","1,633","1,754","-6.9","1,283","1,250","2.6","215.95","12.4","1,138","314"
"Westbury","CT","Que.","1,097","1,006","9.0","440","428","2.8","424","413","2.7","55.61","19.7","2,001","620"
"Akwesasne 3 6","IRI","Que.","..","2,378","..","..","763","..","..","726","..","23.79","..","..",".."
"Dundee","CT","Que.","386","387","-0.3","310","359","-13.6","168","169","-0.6","68.41","5.6","3,218","1,002"
"Elgin","MÉ","Que.","389","394","-1.3","206","221","-6.8","175","176","-0.6","69.35","5.6","3,211","1,000"
"Franklin","MÉ","Que.","1,635","1,636","-0.1","800","777","3.0","717","700","2.4","112.33","14.6","1,577","478"
"Godmanchester","CT","Que.","1,403","1,394","0.6","621","618","0.5","582","571","1.9","138.66","10.1","1,735","526"
"Havelock","CT","Que.","756","740","2.2","407","400","1.8","352","342","2.9","88.70","8.5","2,432","779"
"Hinchinbrooke","MÉ","Que.","2,187","2,103","4.0","1,177","1,186","-0.8","1,026","969","5.9","148.36","14.7","1,305","378"
"Howick","MÉ","Que.","850","778","9.3","366","352","4.0","347","340","2.1","0.96","885.0","2,307","732"
"Huntingdon","V","Que.","2,556","2,444","4.6","1,273","1,159","9.8","1,202","1,091","10.2","2.77","924.2","1,174","329"
"Ormstown","MÉ","Que.","3,917","3,595","9.0","1,788","1,641","9.0","1,706","1,542","10.6","142.24","27.5","870","219"
"Saint-Anicet","MÉ","Que.","2,754","2,626","4.9","1,913","2,088","-8.4","1,309","1,227","6.7","135.03","20.4","1,111","301"
"Saint-Chrysostome","MÉ","Que.","2,582","2,645","-2.4","1,184","1,167","1.5","1,105","1,107","-0.2","100.20","25.8","1,165","324"
"Sainte-Barbe","MÉ","Que.","1,609","1,324","21.5","895","787","13.7","733","601","22.0","40.14","40.1","1,589","483"
"Très-Saint-Sacrement","PE","Que.","1,189","1,186","0.3","506","498","1.6","473","467","1.3","97.16","12.2","1,909","582"
"Chandler","V","Que.","7,490","7,546","-0.7","3,794","3,739","1.5","3,572","3,445","3.7","418.45","17.9","546","134"
"Grande-Rivière","V","Que.","3,384","3,408","-0.7","1,723","1,701","1.3","1,643","1,610","2.0","87.92","38.5","952","244"
"Mont-Alexandre","NO","Que.","0","0","...","0","0","...","0","0","...","1,800.87","0.0","4,831","1,194"
"Percé","V","Que.","3,095","3,103","-0.3","1,862","1,880","-1.0","1,550","1,523","1.8","432.81","7.2","1,021","267"
"Port-Daniel--Gascons","MÉ","Que.","2,271","2,210","2.8","1,227","1,140","7.6","1,079","982","9.9","300.29","7.6","1,269","365"
"Sainte-Thérèse-de-Gaspé","MÉ","Que.","979","1,015","-3.5","504","509","-1.0","475","462","2.8","34.45","28.4","2,133","668"
"Bégin","MÉ","Que.","851","818","4.0","491","477","2.9","384","366","4.9","189.67","4.5","2,306","731"
"Ferland-et-Boilleau","MÉ","Que.","632","540","17.0","319","346","-7.8","263","221","19.0","383.09","1.6","2,658","848"
"L'Anse-Saint-Jean","MÉ","Que.","1,301","1,201","8.3","961","910","5.6","621","563","10.3","501.79","2.6","1,813","562"
"Lac-Ministuk","NO","Que.","58","0","...","23","0","...","23","0","...","1,478.79","0.0","4,465","1,163"
"Lalemant","NO","Que.","0","0","...","1","0","...","0","0","...","190.57","0.0","4,831","1,194"
"Larouche","MÉ","Que.","1,601","1,486","7.7","829","778","6.6","694","637","8.9","84.71","18.9","1,597","485"
"Mont-Valin","NO","Que.","10","0","...","44","130","-66.2","5","1","400.0","33,540.39","0.0","4,722","1,179"
"Petit-Saguenay","MÉ","Que.","600","634","-5.4","384","378","1.6","305","310","-1.6","329.63","1.8","2,716","862"
"Rivière-Éternité","MÉ","Que.","414","413","0.2","239","243","-1.6","199","181","9.9","473.17","0.9","3,128","980"
"Saguenay","V","Que.","144,723","145,949","-0.8","71,017","69,859","1.7","67,522","66,246","1.9","1,124.63","128.7","36","8"
"Saint-Ambroise","MÉ","Que.","3,883","3,781","2.7","1,833","1,794","2.2","1,697","1,596","6.3","149.37","26.0","880","221"
"Saint-Charles-de-Bourget","MÉ","Que.","784","736","6.5","383","354","8.2","344","311","10.6","62.13","12.6","2,392","765"
"Saint-David-de-Falardeau","MÉ","Que.","2,996","2,768","8.2","2,250","2,102","7.0","1,381","1,200","15.1","398.25","7.5","1,049","276"
"Saint-Fulgence","MÉ","Que.","2,061","2,071","-0.5","998","1,008","-1.0","921","887","3.8","351.91","5.9","1,358","396"
"Saint-Félix-d'Otis","MÉ","Que.","1,109","956","16.0","819","771","6.2","548","430","27.4","233.16","4.8","1,989","613"
"Saint-Honoré","V","Que.","6,376","5,757","10.8","2,609","2,286","14.1","2,535","2,202","15.1","189.38","33.7","622","155"
"Sainte-Rose-du-Nord","PE","Que.","434","439","-1.1","261","333","-21.6","217","200","8.5","116.61","3.7","3,093","971"
"Bonsecours","MÉ","Que.","650","608","6.9","326","319","2.2","293","280","4.6","60.36","10.8","2,618","835"
"Cleveland","CT","Que.","1,581","1,541","2.6","696","694","0.3","588","575","2.3","123.59","12.8","1,610","488"
"Kingsbury","VL","Que.","142","138","2.9","75","68","10.3","70","63","11.1","6.11","23.3","4,089","1,141"
"Lawrenceville","VL","Que.","618","635","-2.7","295","293","0.7","283","281","0.7","16.73","36.9","2,679","854"
"Maricourt","MÉ","Que.","456","416","9.6","204","192","6.3","193","180","7.2","61.10","7.5","3,031","952"
"Melbourne","CT","Que.","1,096","1,063","3.1","494","504","-2.0","439","426","3.1","173.93","6.3","2,003","622"
"Racine","MÉ","Que.","1,340","1,323","1.3","706","695","1.6","583","553","5.4","105.63","12.7","1,780","547"
"Richmond","V","Que.","3,259","3,232","0.8","1,720","1,679","2.4","1,609","1,572","2.4","6.98","466.8","985","257"
"Saint-Claude","MÉ","Que.","1,141","1,185","-3.7","585","603","-3.0","491","491","0.0","118.85","9.6","1,958","603"
"Saint-Denis-de-Brompton","MÉ","Que.","4,594","4,054","13.3","2,095","1,881","11.4","1,838","1,598","15.0","70.29","65.4","774","196"
"Saint-François-Xavier-de-Brompton","MÉ","Que.","2,469","2,273","8.6","1,058","967","9.4","1,020","932","9.4","97.71","25.3","1,207","339"
"Sainte-Anne-de-la-Rochelle","MÉ","Que.","625","598","4.5","277","275","0.7","254","241","5.4","61.86","10.1","2,668","851"
"Stoke","MÉ","Que.","3,014","2,955","2.0","1,283","1,258","2.0","1,221","1,185","3.0","255.12","11.8","1,042","274"
"Ulverton","MÉ","Que.","433","418","3.6","214","218","-1.8","183","171","7.0","51.27","8.4","3,098","973"
"Val-Joli","MÉ","Que.","1,671","1,619","3.2","723","696","3.9","695","652","6.6","91.69","18.2","1,554","472"
"Valcourt","V","Que.","2,139","2,165","-1.2","1,123","1,103","1.8","1,052","1,014","3.7","5.41","395.2","1,326","386"
"Valcourt","CT","Que.","1,029","1,044","-1.4","493","492","0.2","461","448","2.9","80.39","12.8","2,075","650"
"Windsor","V","Que.","5,294","5,419","-2.3","2,446","2,422","1.0","2,362","2,353","0.4","14.53","364.3","706","180"
"Adstock","MÉ","Que.","2,903","2,806","3.5","1,767","1,803","-2.0","1,276","1,196","6.7","290.03","10.0","1,064","281"
"Beaulac-Garthby","MÉ","Que.","931","905","2.9","814","839","-3.0","478","438","9.1","75.96","12.3","2,206","692"
"Disraeli","V","Que.","2,360","2,336","1.0","1,311","1,288","1.8","1,226","1,198","2.3","6.80","347.1","1,242","352"
"Disraeli","PE","Que.","1,163","1,123","3.6","754","760","-0.8","540","517","4.4","92.53","12.6","1,933","593"
"East Broughton","MÉ","Que.","2,248","2,199","2.2","1,059","1,038","2.0","1,014","996","1.8","8.86","253.9","1,281","372"
"Irlande","MÉ","Que.","897","884","1.5","435","434","0.2","383","369","3.8","109.85","8.2","2,247","709"
"Kinnear's Mills","MÉ","Que.","397","350","13.4","194","188","3.2","168","149","12.8","93.66","4.2","3,189","993"
"Sacré-Coeur-de-Jésus","PE","Que.","536","521","2.9","277","267","3.7","223","215","3.7","104.73","5.1","2,856","899"
"Saint-Adrien-d'Irlande","MÉ","Que.","395","399","-1.0","209","209","0.0","178","170","4.7","53.18","7.4","3,200","996"
"Saint-Fortunat","MÉ","Que.","255","263","-3.0","164","176","-6.8","133","132","0.8","76.09","3.4","3,658","1,086"
"Saint-Jacques-de-Leeds","MÉ","Que.","711","685","3.8","357","348","2.6","315","300","5.0","80.56","8.8","2,498","793"
"Saint-Jacques-le-Majeur-de-Wolfestown","PE","Que.","186","188","-1.1","134","127","5.5","90","85","5.9","58.71","3.2","3,906","1,120"
"Saint-Jean-de-Brébeuf","MÉ","Que.","351","372","-5.6","171","185","-7.6","157","158","-0.6","79.15","4.4","3,339","1,024"
"Saint-Joseph-de-Coleraine","MÉ","Que.","1,820","1,762","3.3","1,124","1,115","0.8","866","835","3.7","126.76","14.4","1,461","429"
"Saint-Julien","MÉ","Que.","378","376","0.5","203","197","3.0","172","158","8.9","81.70","4.6","3,253","1,010"
"Saint-Pierre-de-Broughton","MÉ","Que.","889","898","-1.0","453","473","-4.2","396","388","2.1","150.56","5.9","2,258","715"
"Sainte-Clotilde-de-Beauce","MÉ","Que.","569","549","3.6","261","278","-6.1","233","241","-3.3","60.55","9.4","2,778","877"
"Sainte-Praxède","PE","Que.","351","327","7.3","290","298","-2.7","157","149","5.4","136.18","2.6","3,339","1,024"
"Thetford Mines","V","Que.","26,072","25,403","2.6","13,059","12,691","2.9","12,216","11,975","2.0","225.97","115.4","176","45"
"Lac-Boisbouscache","NO","Que.","0","0","...","0","0","...","0","0","...","98.15","0.0","4,831","1,194"
"Notre-Dame-des-Neiges","MÉ","Que.","1,194","1,085","10.0","815","778","4.8","575","509","13.0","94.44","12.6","1,905","581"
"Saint-Clément","MÉ","Que.","479","460","4.1","231","231","0.0","214","193","10.9","86.72","5.5","2,988","940"
"Saint-Guy","MÉ","Que.","76","54","40.7","65","66","-1.5","47","35","34.3","139.54","0.5","4,369","1,157"
"Saint-Jean-de-Dieu","MÉ","Que.","1,651","1,596","3.4","742","755","-1.7","699","698","0.1","152.04","10.9","1,566","476"
"Saint-Mathieu-de-Rioux","MÉ","Que.","691","639","8.1","573","559","2.5","341","309","10.4","107.27","6.4","2,540","809"
"Saint-Médard","MÉ","Que.","216","209","3.3","120","115","4.3","106","99","7.1","75.28","2.9","3,805","1,110"
"Saint-Simon-de-Rimouski","MÉ","Que.","455","426","6.8","333","330","0.9","230","202","13.9","74.84","6.1","3,036","954"
"Saint-Éloi","PE","Que.","310","286","8.4","151","144","4.9","136","128","6.3","65.77","4.7","3,480","1,052"
"Sainte-Françoise","PE","Que.","383","386","-0.8","209","213","-1.9","192","187","2.7","88.83","4.3","3,232","1,005"
"Sainte-Rita","MÉ","Que.","303","307","-1.3","216","224","-3.6","142","143","-0.7","129.52","2.3","3,502","1,057"
"Trois-Pistoles","V","Que.","3,115","3,246","-4.0","1,727","1,770","-2.4","1,562","1,562","0.0","7.63","408.1","1,015","264"
"Cantley","MÉ","Que.","11,449","10,699","7.0","4,289","3,988","7.5","4,109","3,768","9.0","126.12","90.8","376","96"
"Chelsea","MÉ","Que.","8,000","6,909","15.8","3,376","2,898","16.5","3,041","2,610","16.5","112.65","71.0","512","129"
"L'Ange-Gardien","MÉ","Que.","6,102","5,464","11.7","2,288","2,058","11.2","2,176","1,960","11.0","216.05","28.2","640","163"
"La Pêche","MÉ","Que.","8,636","7,863","9.8","4,962","4,665","6.4","3,669","3,274","12.1","577.18","15.0","481","120"
"Notre-Dame-de-la-Salette","MÉ","Que.","841","727","15.7","478","473","1.1","381","328","16.2","113.33","7.4","2,317","736"
"Pontiac","MÉ","Que.","6,142","5,850","5.0","2,710","2,664","1.7","2,377","2,252","5.6","445.27","13.8","635","160"
"Val-des-Monts","MÉ","Que.","13,328","11,582","15.1","7,002","6,418","9.1","5,350","4,564","17.2","434.77","30.7","329","87"
"Lac-Etchemin","MÉ","Que.","4,028","3,822","5.4","2,075","2,076","0.0","1,741","1,679","3.7","157.22","25.6","855","216"
"Saint-Benjamin","MÉ","Que.","1,090","987","10.4","493","461","6.9","461","415","11.1","111.53","9.8","2,008","624"
"Saint-Camille-de-Lellis","PE","Que.","737","752","-2.0","458","467","-1.9","380","380","0.0","251.93","2.9","2,464","787"
"Saint-Cyprien","PE","Que.","474","490","-3.3","290","308","-5.8","238","233","2.1","93.48","5.1","3,001","943"
"Saint-Louis-de-Gonzague","MÉ","Que.","390","374","4.3","221","232","-4.7","183","172","6.4","118.01","3.3","3,209","999"
"Saint-Luc-de-Bellechasse","MÉ","Que.","449","438","2.5","325","347","-6.3","231","217","6.5","161.99","2.8","3,050","958"
"Saint-Magloire","MÉ","Que.","712","676","5.3","471","450","4.7","346","313","10.5","208.61","3.4","2,496","792"
"Saint-Prosper","MÉ","Que.","3,596","3,590","0.2","1,646","1,600","2.9","1,561","1,501","4.0","133.74","26.9","917","235"
"Saint-Zacharie","MÉ","Que.","1,684","1,653","1.9","825","791","4.3","760","739","2.8","186.56","9.0","1,546","468"
"Sainte-Aurélie","MÉ","Que.","856","847","1.1","507","483","5.0","423","408","3.7","78.25","10.9","2,298","728"
"Sainte-Justine","MÉ","Que.","1,828","1,820","0.4","844","850","-0.7","786","759","3.6","126.28","14.5","1,455","425"
"Sainte-Rose-de-Watford","MÉ","Que.","740","729","1.5","399","469","-14.9","334","316","5.7","115.13","6.4","2,459","785"
"Sainte-Sabine","PE","Que.","343","358","-4.2","237","230","3.0","195","190","2.6","66.89","5.1","3,370","1,031"
"Hemmingford","VL","Que.","829","755","9.8","403","387","4.1","379","352","7.7","1.07","775.6","2,333","743"
"Hemmingford","CT","Que.","1,995","1,900","5.0","899","899","0.0","821","783","4.9","157.22","12.7","1,383","406"
"Napierville","MÉ","Que.","4,020","3,899","3.1","1,740","1,628","6.9","1,638","1,607","1.9","4.50","893.3","856","217"
"Saint-Bernard-de-Lacolle","MÉ","Que.","1,542","1,549","-0.5","674","670","0.6","618","620","-0.3","113.36","13.6","1,639","498"
"Saint-Cyprien-de-Napierville","MÉ","Que.","1,735","1,927","-10.0","717","762","-5.9","681","728","-6.5","97.75","17.7","1,522","455"
"Saint-Jacques-le-Mineur","MÉ","Que.","1,766","1,690","4.5","739","650","13.7","714","637","12.1","67.18","26.3","1,500","446"
"Saint-Michel","MÉ","Que.","3,521","3,186","10.5","1,296","1,217","6.5","1,259","1,182","6.5","59.82","58.9","932","240"
"Saint-Patrice-de-Sherrington","MÉ","Que.","1,963","1,960","0.2","805","808","-0.4","769","760","1.2","92.55","21.2","1,403","412"
"Saint-Rémi","V","Que.","8,957","8,061","11.1","3,796","3,522","7.8","3,682","3,377","9.0","78.18","114.6","470","117"
"Saint-Édouard","MÉ","Que.","1,365","1,321","3.3","548","542","1.1","515","514","0.2","52.68","25.9","1,765","540"
"Sainte-Clotilde","MÉ","Que.","2,646","1,622","63.1","829","704","17.8","783","645","21.4","78.21","33.8","1,143","316"
"Amherst","CT","Que.","1,728","1,484","16.4","1,613","1,665","-3.1","876","769","13.9","227.86","7.6","1,528","460"
"Arundel","CT","Que.","578","563","2.7","402","412","-2.4","290","282","2.8","63.45","9.1","2,758","872"
"Barkmere","V","Que.","81","58","39.7","230","367","-37.3","50","29","72.4","17.72","4.6","4,344","1,156"
"Brébeuf","PE","Que.","1,009","976","3.4","620","612","1.3","495","464","6.7","35.78","28.2","2,101","660"
"Doncaster 6","IRI","Que.","..","..","..","..","..","..","..","..","..","74.62","..","..",".."
"Huberdeau","MÉ","Que.","863","868","-0.6","527","533","-1.1","430","398","8.0","56.72","15.2","2,291","724"
"Ivry-sur-le-Lac","MÉ","Que.","391","387","1.0","398","421","-5.5","200","186","7.5","29.30","13.3","3,207","998"
"La Conception","MÉ","Que.","1,527","1,337","14.2","1,229","1,191","3.2","743","636","16.8","127.37","12.0","1,648","500"
"La Minerve","MÉ","Que.","1,421","1,205","17.9","1,638","1,674","-2.2","767","635","20.8","274.92","5.2","1,723","522"
"Labelle","MÉ","Que.","2,765","2,477","11.6","2,017","1,999","0.9","1,362","1,160","17.4","196.69","14.1","1,105","298"
"Lac-Supérieur","MÉ","Que.","1,972","1,888","4.4","1,718","1,674","2.6","996","900","10.7","365.98","5.4","1,395","410"
"Lac-Tremblant-Nord","MÉ","Que.","60","42","42.9","70","67","4.5","31","23","34.8","20.62","2.9","4,454","1,160"
"Lantier","MÉ","Que.","891","834","6.8","819","805","1.7","442","390","13.3","48.19","18.5","2,254","713"
"Mont-Tremblant","V","Que.","10,992","9,646","14.0","8,783","8,082","8.7","5,408","4,551","18.8","233.75","47.0","397","105"
"Montcalm","MÉ","Que.","632","628","0.6","627","666","-5.9","330","316","4.4","117.71","5.4","2,658","848"
"Saint-Faustin--Lac-Carré","MÉ","Que.","3,780","3,499","8.0","2,520","2,517","0.1","1,791","1,605","11.6","120.21","31.4","896","228"
"Sainte-Agathe-des-Monts","V","Que.","11,211","10,223","9.7","6,767","6,533","3.6","5,514","4,876","13.1","129.10","86.8","384","100"
"Sainte-Lucie-des-Laurentides","MÉ","Que.","1,445","1,256","15.0","953","957","-0.4","688","605","13.7","108.98","13.3","1,701","515"
"Val-David","VL","Que.","5,558","4,917","13.0","3,227","3,083","4.7","2,668","2,403","11.0","42.66","130.3","689","175"
"Val-Morin","MÉ","Que.","3,123","2,870","8.8","2,077","2,048","1.4","1,487","1,369","8.6","39.20","79.7","1,013","263"
"Val-des-Lacs","MÉ","Que.","750","744","0.8","822","844","-2.6","391","375","4.3","126.70","5.9","2,440","782"
"La Présentation","MÉ","Que.","2,638","2,540","3.9","1,096","1,048","4.6","1,066","998","6.8","94.39","27.9","1,146","317"
"Saint-Barnabé-Sud","MÉ","Que.","962","861","11.7","389","346","12.4","373","340","9.7","57.20","16.8","2,158","672"
"Saint-Bernard-de-Michaudville","MÉ","Que.","616","586","5.1","275","259","6.2","261","244","7.0","66.05","9.3","2,683","856"
"Saint-Damase","MÉ","Que.","2,447","2,473","-1.1","1,056","1,043","1.2","1,022","1,012","1.0","79.65","30.7","1,213","343"
"Saint-Dominique","MÉ","Que.","2,741","2,553","7.4","1,119","1,009","10.9","1,090","989","10.2","70.53","38.9","1,116","303"
"Saint-Hugues","MÉ","Que.","1,340","1,327","1.0","571","572","-0.2","540","530","1.9","84.64","15.8","1,780","547"
"Saint-Hyacinthe","V","Que.","57,239","55,648","2.9","28,096","27,050","3.9","26,870","25,483","5.4","188.85","303.1","97","19"
"Saint-Jude","MÉ","Que.","1,326","1,214","9.2","542","502","8.0","523","480","9.0","77.33","17.1","1,791","553"
"Saint-Liboire","MÉ","Que.","3,036","3,062","-0.8","1,178","1,145","2.9","1,150","1,118","2.9","73.82","41.1","1,038","271"
"Saint-Louis","MÉ","Que.","740","712","3.9","352","357","-1.4","330","314","5.1","47.21","15.7","2,459","785"
"Saint-Marcel-de-Richelieu","MÉ","Que.","507","497","2.0","225","244","-7.8","210","214","-1.9","51.27","9.9","2,925","921"
"Saint-Pie","V","Que.","5,847","5,607","4.3","2,511","2,475","1.5","2,413","2,308","4.5","107.42","54.4","666","168"
"Saint-Simon","MÉ","Que.","1,386","1,413","-1.9","550","546","0.7","539","531","1.5","69.05","20.1","1,752","533"
"Saint-Valérien-de-Milton","MÉ","Que.","1,767","1,793","-1.5","751","788","-4.7","702","710","-1.1","106.92","16.5","1,499","445"
"Sainte-Hélène-de-Bagot","MÉ","Que.","1,696","1,688","0.5","741","720","2.9","716","680","5.3","72.41","23.4","1,541","467"
"Sainte-Madeleine","VL","Que.","2,268","2,233","1.6","983","973","1.0","957","926","3.3","5.36","422.9","1,271","366"
"Sainte-Marie-Madeleine","PE","Que.","2,876","2,892","-0.6","1,190","1,167","2.0","1,169","1,139","2.6","50.04","57.5","1,081","291"
"Mascouche","V","Que.","51,183","46,692","9.6","20,290","18,322","10.7","19,981","17,900","11.6","106.89","478.8","102","20"
"Terrebonne","V","Que.","119,944","111,575","7.5","46,056","42,622","8.1","45,247","41,801","8.2","153.76","780.1","48","10"
"Estérel","V","Que.","262","196","33.7","377","362","4.1","153","101","51.5","12.62","20.8","3,637","1,082"
"Lac-des-Seize-Îles 4","MÉ","Que.","175","192","-8.9","212","227","-6.6","96","92","4.3","8.88","19.7","3,954","1,127"
"Morin-Heights","MÉ","Que.","4,678","4,145","12.9","2,762","2,610","5.8","2,211","1,982","11.6","55.96","83.6","770","194"
"Piedmont","MÉ","Que.","3,476","2,950","17.8","2,385","2,242","6.4","1,822","1,555","17.2","24.36","142.7","940","242"
"Saint-Adolphe-d'Howard","MÉ","Que.","3,824","3,509","9.0","3,730","3,594","3.8","2,039","1,787","14.1","135.80","28.2","890","225"
